	YPACETATE	YPDCAFEIN40	YPDHU	YPETHANOL	YPD14	YPDCAFEIN50	YPDKCL2M	YPGALACTOSE	YPD40	YPDCHX05	YPDLICL250MM	YPGLYCEROL	YPD42	YPDCHX1	YPDMV	YPRIBOSE	YPD6AU	YPDCUSO410MM	YPDNACL15M	YPSORBITOL	YPDANISO10	YPDDMSO	YPDNACL1M	YPXYLOSE	YPDANISO20	YPDETOH	YPDNYSTATIN	YPDANISO50	YPDFLUCONAZOLE	YPDSDS	YPDBENOMYL200	YPDFORMAMIDE4	YPDSODIUMMETAARSENITE	YPDBENOMYL500	YPDFORMAMIDE5
ACA_6.re	0.314932989	0.09047654599999999	0.27259311399999997	0.35995480399999996	0.333662909	0.082155506	0.117662777	0.358029169	0.540756433	0.244010175	0.134946869	0.21793892899999998	0.256236757	0.07320203900000001	0.10597844099999999	0.148688525	0.18666633100000002	1.071880433	0.128537785	0.17589921100000003	0.637272718	0.373885786	0.167605644	0.19154072600000002	0.387398401	0.283515531	0.11662635800000001	0.144197906	0.188139387	0.355444473	0.109739116	0.150010755	0.027454271000000002	0.181566041	0.12650950800000002
ACB_6.re	0.340107654	0.084832234	0.262934377	0.41740696899999996	0.344574628	0.07286068	0.079511185	0.369674081	0.491938627	0.22874039699999998	0.157339966	0.264846915	0.250851958	0.07760128200000001	0.09642246	0.19907356199999998	0.17255853300000001	1.008318953	0.131527167	0.22572515199999998	0.627647692	0.360285099	0.158639229	0.219814206	0.35725717	0.282216821	0.10968770900000001	0.14173908	0.15166792099999998	0.39127698299999997	0.094512086	0.133024304	0.023132247999999998	0.137944593	0.11145768699999999
ACC_7.re	0.369235485	0.199211632	0.396627149	0.6322279679999999	0.46557619	0.138396285	0.291728583	1.097669618	0.7598161370000001	0.542529664	0.142202505	0.653907682	0.621711055	0.20510215899999998	0.202299258	0.652575183	0.165120637	0.117903152	0.166818188	0.611966007	0.741988735	0.558878237	0.177555259	0.623417188	0.583744473	0.6250427620000001	0.139745538	0.250305024	0.222655668	0.19481602899999997	0.324682564	0.508148492	0.071678727	0.497501344	0.430947614
ACD_7.re	0.474732986	0.31598825	0.378448246	0.630737653	0.41542863	0.258454839	0.180839424	1.026674367	0.8837778620000001	0.415870301	0.06523496299999999	0.627001035	0.574138134	0.09789529699999999	0.182203795	0.673025918	0.077792364	0.042493209000000004	0.108003659	0.662744338	0.794772707	0.635444111	0.17289204100000002	0.62933164	0.49868644	0.59389551	0.045784922	0.087172745	0.19276187	0.167567535	0.305546676	0.455889728	0.026591697	0.5373143779999999	0.290502113
ACF_7.re	0.284678661	0.071953814	0.272135101	0.333902633	0.344949322	0.054027023	0.138644554	0.628666494	0.578841866	0.166327057	0.11396592300000001	0.280829731	0.231616021	0.062994069	0.1068766	0.182518851	0.24458914899999998	1.08778848	0.12916923800000002	0.249303921	0.6532718000000001	0.419547155	0.190325747	0.222826427	0.293730649	0.23311621100000002	0.041667592999999996	0.082421918	0.256667565	0.21854069199999998	0.18837243899999997	0.36638255700000005	0.074540841	0.31733409100000004	0.259316587
ACG_7.re	0.307956599	0.112674804	0.277194279	0.37405765700000004	0.377462235	0.08208678900000001	0.142867363	0.55620251	0.5498771889999999	0.257127752	0.10533462099999999	0.34103068799999997	0.266562365	0.078675982	0.188672285	0.193602695	0.113295492	1.113737461	0.1722227	0.228948189	0.853524579	0.37992457399999996	0.277624866	0.245531063	0.487243245	0.27392649199999997	0.08898595699999999	0.069776537	0.161750994	0.153182785	0.19750912399999998	0.128860411	0.197089373	0.248941385	0.093232002
ACH_7.re	0.33844453700000005	0.12171396599999999	0.288504951	0.341569069	0.338598012	0.087881357	0.140270317	0.5377521160000001	0.597382956	0.20347648899999998	0.145541569	0.328496601	0.267317106	0.076752785	0.157899592	0.22559438	0.108214176	1.157587802	0.17380195699999998	0.297219578	0.835568309	0.375344006	0.27644004899999997	0.282530713	0.490049823	0.316899234	0.087447287	0.08912958300000001	0.154269942	0.159443526	0.20433210000000002	0.10875180300000001	0.17905990300000002	0.267597693	0.06262500900000001
ACI_7.re	0.360963353	0.041575392999999995	0.295598205	0.705623077	0.5539495529999999	0.044164522000000005	0.09594974	1.221168295	0.43198488799999996	0.197969714	0.178819507	0.564731851	0.187858314	0.105755653	0.21902262600000003	0.334015993	0.092255266	0.129985498	0.131808711	0.449871505	0.497272227	0.463802606	0.179020392	0.480159843	0.13351326	0.39213635	0.158962877	0.173303832	0.537100708	0.26027159	0.26934992399999996	0.503429473	0.092995492	0.375685903	0.321970785
ACK_7.re	0.303873904	0.198510264	0.46158613299999995	0.66620189	0.450177865	0.16712493	0.119127444	1.014004717	0.843882868	0.204084724	0.49418463700000004	0.368948337	0.645075426	0.141871549	0.271657669	0.250437714	0.325005423	1.124459936	0.307418252	0.333930263	0.622351448	0.5095080439999999	0.510219847	0.35052633	0.30373315100000003	0.515629834	0.28500002399999996	0.186501875	0.325794714	0.48737178299999995	0.249966086	0.49409306299999994	0.605941185	0.266925678	0.400949845
ACL_7.re	0.223678233	0.258701907	0.396478999	0.386645051	0.5781974129999999	0.195749568	0.16433604	0.668492743	0.6511559	0.26073017600000004	0.260035972	0.21968969600000002	0.39597963799999997	0.14264441	0.211245775	0.127972044	0.44777154799999996	0.18885584	0.238249116	0.285290395	0.535626694	0.526074591	0.368183937	0.177731387	0.231412466	0.42971167600000004	0.26415221699999997	0.219214925	0.48356559600000004	0.076093069	0.25141650600000004	0.42644324	0.15177735	0.312138132	0.327763495
